solution;cost;deviation ;time;generations;init_time;params;method
[12, 36, 27, 26, 18, 34, 15, 33, 35, 11, 14, 0, 10, 29, 2, 5, 1, 8, 4, 23, 39, 3, 28, 16, 22, 19, 31, 30, 21, 24, 20, 17, 6, 38, 9, 32, 13, 25, 37, 7];3149680;0.33;61.563;20;0.184;[20, 0, 0];EO
[8, 28, 25, 18, 31, 21, 37, 16, 24, 34, 11, 27, 20, 7, 35, 9, 17, 22, 23, 10, 32, 2, 38, 0, 13, 29, 3, 39, 15, 36, 1, 5, 6, 30, 14, 19, 33, 26, 4, 12];3157378;0.57;60.234;20;0.185;[400, 8000, 0];ROTS
[21, 18, 20, 14, 2, 3, 32, 30, 11, 19, 25, 23, 9, 24, 16, 37, 29, 15, 26, 36, 17, 34, 0, 38, 13, 33, 1, 7, 5, 4, 8, 35, 31, 10, 6, 27, 22, 12, 28, 39];3147696;0.27;61.68;20;0.143;[760, 6400, 0];ROTS
[3, 28, 15, 16, 23, 2, 8, 0, 32, 31, 4, 36, 17, 19, 22, 10, 9, 14, 33, 18, 7, 11, 30, 37, 26, 13, 25, 35, 20, 12, 24, 1, 6, 29, 5, 21, 27, 34, 38, 39];3143132;0.12;61.66;20;0.3;[244, 15051, 0];ROTS
[20, 10, 12, 28, 7, 35, 11, 36, 19, 15, 6, 9, 25, 34, 30, 14, 17, 18, 16, 39, 13, 31, 0, 38, 29, 22, 3, 26, 21, 32, 1, 2, 27, 5, 8, 24, 4, 23, 33, 37];3143250;0.12;62.039;20;0.144;[74, 2, 0];EO
[11, 36, 24, 3, 15, 34, 0, 1, 9, 14, 19, 38, 28, 4, 18, 27, 31, 32, 12, 26, 33, 13, 8, 6, 20, 23, 30, 5, 7, 21, 37, 17, 10, 35, 25, 22, 39, 2, 16, 29];3141702;0.07;61.093;20;0.485;[160, 8601, 0];ROTS
[5, 17, 24, 39, 11, 12, 22, 19, 2, 7, 20, 36, 28, 8, 16, 13, 35, 6, 32, 34, 33, 4, 30, 18, 26, 38, 10, 31, 14, 21, 27, 1, 0, 37, 23, 29, 25, 3, 9, 15];3160932;0.69;60.807;20;0.097;[760, 9912, 0];ROTS
[38, 20, 27, 4, 31, 3, 33, 10, 35, 11, 37, 0, 23, 2, 17, 25, 30, 36, 34, 16, 29, 8, 19, 1, 21, 12, 39, 13, 9, 26, 28, 32, 15, 14, 6, 22, 5, 24, 18, 7];3152146;0.41;61.25;20;0.202;[160, 11200, 0];ROTS
[14, 38, 9, 17, 7, 8, 31, 35, 32, 5, 30, 6, 29, 13, 36, 21, 23, 18, 22, 11, 12, 27, 1, 16, 39, 28, 2, 25, 26, 37, 10, 20, 33, 3, 15, 34, 19, 0, 24, 4];3154348;0.48;60.465;20;0.14;[96, 2, 0];EO
[16, 6, 37, 23, 27, 22, 35, 38, 32, 5, 13, 28, 29, 26, 33, 21, 19, 12, 4, 24, 20, 0, 9, 31, 39, 3, 17, 11, 1, 25, 7, 30, 14, 15, 18, 34, 36, 8, 10, 2];3150192;0.34;60.248;20;0.122;[160, 10594, 0];ROTS
[29, 18, 22, 25, 34, 8, 38, 1, 27, 26, 11, 5, 0, 37, 35, 16, 36, 12, 19, 31, 32, 2, 7, 6, 3, 24, 23, 39, 14, 30, 15, 20, 9, 21, 10, 17, 33, 13, 28, 4];3151716;0.39;60.189;20;0.153;[245, 8000, 0];ROTS
[10, 5, 4, 3, 7, 14, 15, 37, 35, 11, 27, 22, 25, 2, 33, 13, 23, 17, 26, 18, 0, 24, 19, 1, 12, 16, 28, 31, 21, 30, 8, 32, 39, 20, 6, 36, 38, 34, 9, 29];3152954;0.43;60.147;20;0.117;[18, 0, 0];EO
